DATE;COMPANY;COMPANY;TO;FROM;TEMPERATURE;SKY INFORMATION;WIND SPEED;WIND ANGLE;VISIBILITY;SCHEDULED TIME;DEPARTURE TIME;CLASS
2019-10-27;GetJetAirlines;GetJetAirlines;VilniusVNO;AntalijaAYT;9 °C;Fog.;15 km/h;190;5 km;04:40:00;04:40:00;On Time [-5, 5] min.
2019-10-27;GetJetAirlines;GetJetAirlines;VilniusVNO;FarasFAO;9 °C;Fog.;15 km/h;190;5 km;04:55:00;04:55:00;On Time [-5, 5] min.
2019-10-27;GetJetAirlines;GetJetAirlines;VilniusVNO;AntalijaAYT;9 °C;Fog.;13 km/h;170;5 km;05:40:00;05:40:00;On Time [-5, 5] min.
2019-10-27;WizzAir;WizzAir;VilniusVNO;KutaisisKUT;8 °C;Rain. Fog.;11 km/h;170;3 km;06:10:00;06:10:00;On Time [-5, 5] min.
2019-10-27;WizzAir;WizzAir;VilniusVNO;NicaNCE;8 °C;Rain. Fog.;11 km/h;170;3 km;06:15:00;06:15:00;On Time [-5, 5] min.
2019-10-27;LOTPolishAirlines;LOT...PolishAirlines;VilniusVNO;VarðuvaWAW;8 °C;Rain. Fog.;11 km/h;170;3 km;06:25:00;06:25:00;On Time [-5, 5] min.
2019-10-27;ScandinavianAirlines;ScandinavianAirlines;VilniusVNO;KopenhagaCPH;8 °C;Rain. Fog.;11 km/h;170;3 km;06:25:00;06:25:00;On Time [-5, 5] min.
2019-10-27;WizzAir;WizzAir;VilniusVNO;BelfastasBFS;8 °C;Rain. Fog.;11 km/h;170;3 km;06:30:00;06:30:00;On Time [-5, 5] min.
2019-10-27;Lufthansa;Lufthansa;VilniusVNO;FrankfurtasFRA;8 °C;Rain. Fog.;11 km/h;170;3 km;06:35:00;06:35:00;On Time [-5, 5] min.
2019-10-27;Ryanair;Ryanair;VilniusVNO;OslasOSL;9 °C;Fog.;15 km/h;200;3 km;06:45:00;06:45:00;On Time [-5, 5] min.
2019-10-27;Ryanair;Ryanair;KaunasKUN;Londonas(Stanstedas)STN;11 °C;Passing clouds.;11 km/h;200;N/A;07:10:00;07:13:00;On Time [-5, 5] min.
2019-10-27;Ryanair;Ryanair;VilniusVNO;CharkovasHRK;9 °C;Fog.;17 km/h;190;3 km;07:10:00;07:10:00;On Time [-5, 5] min.
2019-10-27;UkraineInternationalAirlines;UkraineInternationalAirlines;VilniusVNO;KijevasKBP;9 °C;Fog.;17 km/h;190;3 km;07:15:00;07:15:00;On Time [-5, 5] min.
2019-10-27;Ryanair;Ryanair;KaunasKUN;KopenhagaCPH;12 °C;Passing clouds.;11 km/h;200;N/A;08:20:00;08:21:00;On Time [-5, 5] min.
2019-10-27;Finnair;Finnair;VilniusVNO;HelsinkisHEL;13 °C;Sunny.;33 km/h;210;16 km;10:00:00;10:00:00;On Time [-5, 5] min.
2019-10-27;NorvegianAirShuttle;NorvegianAirShuttle;VilniusVNO;OslasOSL;13 °C;Sunny.;33 km/h;210;16 km;10:00:00;10:00:00;On Time [-5, 5] min.
2019-10-27;Norwegian;Norwegian;PalangaPLQ;Oslas;13 °C;Overcast.;15 km/h;220;20 km;10:05:00;10:09:00;On Time [-5, 5] min.
2019-10-27;NorvegianAirShuttle;NorvegianAirShuttle;VilniusVNO;StokholmasARN;13 °C;Sunny.;33 km/h;210;16 km;10:20:00;10:20:00;On Time [-5, 5] min.
2019-10-27;TurkishAirlines;TurkishAirlines;VilniusVNO;AntalijaAYT;13 °C;Sunny.;33 km/h;210;16 km;10:30:00;11:07:00;Delay (30, inf) min.
2019-10-27;AirBaltic;AirBaltic;VilniusVNO;RygaRIX;13 °C;Sunny.;33 km/h;210;16 km;10:40:00;10:40:00;On Time [-5, 5] min.
2019-10-27;AirBaltic;AirBaltic;PalangaPLQ;Ryga;13 °C;Overcast.;15 km/h;220;20 km;10:45:00;10:36:00;Early [-15,-5) min.
2019-10-27;OnurAir;OnurAir;VilniusVNO;AntalijaAYT;13 °C;Sunny.;33 km/h;210;16 km;10:50:00;10:50:00;On Time [-5, 5] min.
2019-10-27;Aeroflot;Aeroflot;VilniusVNO;MaskvaSVO;13 °C;Sunny.;33 km/h;210;16 km;10:55:00;11:29:00;Delay (30, inf) min.
